    9    3 0.51938D-04 -.93187D-05
    9    4 -.50223D-04 0.29971D-04
    9    5 -.81547D-04 -.98315D-04
    9    6 0.14007D-03 0.37335D-04
    9    7 0.47512D-04 -.36877D-04
    9    8 0.12526D-03 -.16022D-04
    9    9 -.15071D-03 -.25525D-03
   10  -10 -.19613D-03 -.47756D-04
   10   -9 -.72096D-04 -.25891D-04
   10   -8 0.21678D-04 0.55830D-04
   10   -7 -.70963D-04 -.18508D-05
   10   -6 0.14228D-03 0.10575D-03
   10   -5 -.76242D-04 -.10058D-03
   10   -4 0.18494D-04 -.52431D-04
   10   -3 -.11241D-03 -.84756D-04
   10   -2 0.41601D-04 -.45077D-04
   10   -1 0.51336D-04 0.13338D-03
   10    0 -.34914D-04 0.00000D+00
   10    1 -.51336D-04 0.13338D-03
   10    2 0.41601D-04 0.45077D-04
   10    3 0.11241D-03 -.84756D-04
   10    4 0.18494D-04 0.52431D-04
   10    5 0.76242D-04 -.10058D-03
   10    6 0.14228D-03 -.10575D-03
   10    7 0.70963D-04 -.18508D-05
   10    8 0.21678D-04 -.55830D-04
   10    9 0.72096D-04 -.25891D-04
   10   10 -.19613D-03 0.47756D-04
   11  -11 -.32853D-03 -.26691D-03
   11  -10 0.26368D-04 -.20287D-03
   11   -9 -.24478D-04 -.61295D-04
   11   -8 -.78777D-04 0.10486D-03
   11   -7 -.68494D-04 -.15479D-03
   11   -6 -.89048D-04 0.10286D-03
   11   -5 0.18227D-04 0.25596D-04
   11   -4 0.47634D-04 -.22714D-05
   11   -3 0.45511D-04 0.70004D-04
   11   -2 0.11431D-03 0.74446D-04
   11   -1 -.53480D-04 -.77526D-05
   11    0 -.10203D-03 0.00000D+00
   11    1 0.53480D-04 -.77526D-05
   11    2 0.11431D-03 -.74446D-04
   11    3 -.45511D-04 0.70004D-04
   11    4 0.47634D-04 0.22714D-05
   11    5 -.18227D-04 0.25596D-04
   11    6 -.89048D-04 -.10286D-03
   11    7 0.68494D-04 -.15479D-03
   11    8 -.78777D-04 -.10486D-03
   11    9 0.24478D-04 -.61295D-04
   11   10 0.26368D-04 0.20287D-03
   11   11 0.32853D-03 -.26691D-03
   12  -12 -.22921D-03 0.11196D-03
   12  -11 0.11641D-04 -.16369D-04
   12  -10 0.59808D-04 -.64005D-04
   12   -9 -.13026D-03 0.96122D-04
   12   -8 0.11574D-03 -.56043D-04
   12   -7 -.10783D-03 -.86779D-04
   12   -6 0.52698D-04 0.15700D-04
   12   -5 -.30133D-04 -.60914D-04
   12   -4 -.27131D-04 0.16290D-03
   12   -3 -.11336D-04 0.98546D-04
   12   -2 -.49004D-06 -.36181D-04
   12   -1 0.92861D-06 -.54741D-04
   12    0 0.15852D-04 0.00000D+00
   12    1 -.92861D-06 -.54741D-04
   12    2 -.49004D-06 0.36181D-04
   12    3 0.11336D-04 0.98546D-04
   12    4 -.27131D-04 -.16290D-03
   12    5 0.30133D-04 -.60914D-04
   12    6 0.52698D-04 -.15700D-04
   12    7 0.10783D-03 -.86779D-04
   12    8 0.11574D-03 0.56043D-04
   12    9 0.13026D-03 0.96122D-04
   12   10 0.59808D-04 0.64005D-04
   12   11 -.11641D-04 -.16369D-04
   12   12 -.22921D-03 -.11196D-03
   13  -13 -.22356D-03 0.99680D-04
   13  -12 -.13984D-03 0.42535D-04
   13  -11 -.97222D-04 -.22849D-04
   13  -10 0.29798D-04 0.16060D-03
   13   -9 -.79223D-04 0.62704D-05
   13   -8 0.53965D-04 0.23437D-04
   13   -7 0.17061D-04 0.67120D-04
   13   -6 0.98657D-04 0.16248D-04
   13   -5 0.24564D-04 0.35904D-04
   13   -4 -.58352D-04 -.81300D-04
   13   -3 0.26277D-04 -.68065D-04
   13   -2 -.12751D-03 0.25030D-04
   13   -1 0.62620D-04 -.27960D-04
   13    0 0.19809D-03 0.00000D+00
   13    1 -.62620D-04 -.27960D-04
   13    2 -.12751D-03 -.25030D-04
   13    3 -.26277D-04 -.68065D-04
   13    4 -.58352D-04 0.81300D-04
   13    5 -.24564D-04 0.35904D-04
   13    6 0.98657D-04 -.16248D-04
   13    7 -.17061D-04 0.67120D-04
   13    8 0.53965D-04 -.23437D-04
   13    9 0.79223D-04 0.62704D-05
   13   10 0.29798D-04 -.16060D-03
   13   11 0.97222D-04 -.22849D-04
   13   12 -.13984D-03 -.42535D-04
   13   13 0.22356D-03 0.99680D-04
   14  -14 0.24288D-04 0.14292D-03
   14  -13 0.60601D-04 0.48994D-04
   14  -12 0.45248D-04 -.81294D-05
   14  -11 -.31447D-04 0.72396D-04
   14  -10 0.82003D-04 -.16179D-04
   14   -9 -.89154D-04 -.19374D-04
   14   -8 0.90887D-04 0.73306D-04
   14   -7 -.12855D-03 0.36791D-04
   14   -6 0.68138D-04 0.34139D-04
   14   -5 -.12828D-03 0.47458D-05
   14   -4 -.31369D-06 -.19597D-03
   14   -3 -.32385D-04 0.40989D-04
   14   -2 0.54855D-04 0.25773D-04
   14   -1 0.67612D-04 0.14363D-04
   14    0 -.97388D-04 0.00000D+00
   14    1 -.67612D-04 0.14363D-04
   14    2 0.54855D-04 -.25773D-04
   14    3 0.32385D-04 0.40989D-04
   14    4 -.31369D-06 0.19597D-03
   14    5 0.12828D-03 0.47458D-05
   14    6 0.68138D-04 -.34139D-04
   14    7 0.12855D-03 0.36791D-04
   14    8 0.90887D-04 -.73306D-04
   14    9 0.89154D-04 -.19374D-04
   14   10 0.82003D-04 0.16179D-04
   14   11 0.31447D-04 0.72396D-04
   14   12 0.45248D-04 0.81294D-05
   14   13 -.60601D-04 0.48994D-04
   14   14 0.24288D-04 -.14292D-03
   15  -15 0.40168D-04 0.13436D-03
   15  -14 0.14001D-04 0.14735D-03
   15  -13 -.19880D-04 0.87343D-04
   15  -12 0.53934D-04 0.24461D-04
   15  -11 0.47195D-04 0.76303D-05
   15  -10 0.63364D-04 -.12940D-04
   15   -9 -.32835D-05 -.23348D-04
   15   -8 0.11680D-03 -.22695D-04
